,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
3150,1982,Non-Fatal,Substantial,Airplane,185,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Jack R. Smith,0.0,0.0,VMC,Landing
3170,1982,Incident,Minor,Airplane,SC7 SERIES 3,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Cape Smythe Air Service Inc.,0.0,0.0,VMC,Approach
3174,1982,Non-Fatal,Substantial,Airplane,402B,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Darne, Inc.",0.0,0.0,VMC,Landing
3192,1982,Non-Fatal,Substantial,Airplane,C-82,2.0,Reciprocating,Part 121: Air Carrier,"Northern Air Cargo, Inc.",0.0,2.0,VMC,Approach
3199,1982,Non-Fatal,Substantial,Airplane,SA-226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Nevada National Leasing Co.,0.0,0.0,VMC,Takeoff
3226,1982,Fatal(1),Destroyed,Airplane,GA-7,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Mid-plains Flight, Corp.",1.0,0.0,IMC,Approach
3237,1982,Non-Fatal,Destroyed,Airplane,PA-28R-201T,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Flight East, Inc.",0.0,0.0,VMC,Cruise
3252,1982,Non-Fatal,Substantial,Airplane,PA-32-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Harbor Air Service,0.0,0.0,VMC,Landing
3254,1982,Fatal(1),Destroyed,Airplane,PA-31-350,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Hill-williford Aviation,1.0,0.0,VMC,Descent
3262,1982,Non-Fatal,Substantial,Helicopter,SA316B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Life Flight, Allegheny General",0.0,0.0,VMC,Maneuvering
3276,1982,Incident,Minor,Airplane,G18S,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Bo-s-aire,0.0,0.0,VMC,Descent
3296,1982,Non-Fatal,Substantial,Airplane,DC-10,3.0,Turbo Fan,Part 121: Air Carrier,"Continental Air Lines, Inc.",0.0,0.0,VMC,Standing
3306,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Houston Helicopters Inc.,0.0,0.0,IMC,Approach
3315,1982,Non-Fatal,Destroyed,Airplane,680W,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Astro Wings Airlines,0.0,2.0,IMC,Cruise
3322,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Mountain West Helicopters,0.0,0.0,VMC,Maneuvering
3335,1982,Incident,Minor,Airplane,727-223,3.0,Turbo Fan,Part 121: Air Carrier,American Airlines,0.0,0.0,IMC,Landing
3344,1982,Fatal(2),Destroyed,Airplane,95-B55,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Central American Inter'l Inc.,2.0,0.0,IMC,Takeoff
